gkz5;gemeindename;bkz;politischer_bezirk;bundesland;mc;merkmal;einheit;ressort;jahr;wert
10306,00;Leithaprodersdorf;103,00;Eisenstadt (Land);BURGENLAND;1016,00;Sommerweichweizen;ha;BMLRT;2007,00;18,35
10310,00;Oggau am Neusiedler See;103,00;Eisenstadt (Land);BURGENLAND;1016,00;Sommerweichweizen;ha;BMLRT;2017,00;49,99
10310,00;Oggau am Neusiedler See;103,00;Eisenstadt (Land);BURGENLAND;1016,00;Sommerweichweizen;ha;BMLRT;2019,00;48,21
10311,00;Oslip;103,00;Eisenstadt (Land);BURGENLAND;1016,00;Sommerweichweizen;ha;BMLRT;2020,00;26,44
10317,00;Trausdorf an der Wulka;103,00;Eisenstadt (Land);BURGENLAND;1016,00;Sommerweichweizen;ha;BMLRT;2011,00;62,82
10402,00;Burgauberg-Neudauberg;104,00;Güssing;BURGENLAND;1016,00;Sommerweichweizen;ha;BMLRT;2000,00;4,45
10402,00;Burgauberg-Neudauberg;104,00;Güssing;BURGENLAND;1016,00;Sommerweichweizen;ha;BMLRT;2002,00;6,55
10402,00;Burgauberg-Neudauberg;104,00;Güssing;BURGENLAND;1016,00;Sommerweichweizen;ha;BMLRT;2003,00;6,33
10402,00;Burgauberg-Neudauberg;104,00;Güssing;BURGENLAND;1016,00;Sommerweichweizen;ha;BMLRT;2004,00;6,78
10402,00;Burgauberg-Neudauberg;104,00;Güssing;BURGENLAND;1016,00;Sommerweichweizen;ha;BMLRT;2005,00;7,40
10402,00;Burgauberg-Neudauberg;104,00;Güssing;BURGENLAND;1016,00;Sommerweichweizen;ha;BMLRT;2006,00;11,09
10402,00;Burgauberg-Neudauberg;104,00;Güssing;BURGENLAND;1016,00;Sommerweichweizen;ha;BMLRT;2007,00;15,12
10402,00;Burgauberg-Neudauberg;104,00;Güssing;BURGENLAND;1016,00;Sommerweichweizen;ha;BMLRT;2008,00;5,23
10402,00;Burgauberg-Neudauberg;104,00;Güssing;BURGENLAND;1016,00;Sommerweichweizen;ha;BMLRT;2009,00;6,90
