EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-05-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the non-blended series (SOUID: 234938) of station NEUSIEDL AM SEE, AUSTRIA (STAID:  24719)

 STAID,    SOUID,    DATE,   RR, Q_RR
 24719,234938,19360101,    0,    0
 24719,234938,19360102,    0,    0
 24719,234938,19360103,    0,    0
 24719,234938,19360104,    0,    0
 24719,234938,19360105,    0,    0
 24719,234938,19360106,    0,    0
 24719,234938,19360107,    0,    0
 24719,234938,19360108,   17,    0
 24719,234938,19360109,   20,    0
 24719,234938,19360110,   55,    0
 24719,234938,19360111,   30,    0
 24719,234938,19360112,    0,    0
 24719,234938,19360113,    0,    0
 24719,234938,19360114,    0,    0
 24719,234938,19360115,    0,    0
 24719,234938,19360116,    0,    0
 24719,234938,19360117,   38,    0
 24719,234938,19360118,    0,    0
 24719,234938,19360119,    0,    0
 24719,234938,19360120,    1,    0
 24719,234938,19360121,    0,    0
 24719,234938,19360122,  220,    0
 24719,234938,19360123,    0,    0
 24719,234938,19360124,    0,    0
 24719,234938,19360125,    0,    0
 24719,234938,19360126,    0,    0
 24719,234938,19360127,    0,    0
 24719,234938,19360128,    0,    0
 24719,234938,19360129,    0,    0
 24719,234938,19360130,    0,    0
 24719,234938,19360131,   52,    0
 24719,234938,19360201,    1,    0
 24719,234938,19360202,   88,    0
 24719,234938,19360203,    0,    0
 24719,234938,19360204,   98,    0
 24719,234938,19360205,    0,    0
 24719,234938,19360206,    0,    0
 24719,234938,19360207,    0,    0
 24719,234938,19360208,    0,    0
 24719,234938,19360209,    0,    0
 24719,234938,19360210,    0,    0
 24719,234938,19360211,    0,    0
 24719,234938,19360212,    0,    0
 24719,234938,19360213,    0,    0
 24719,234938,19360214,    0,    0
 24719,234938,19360215,    0,    0
 24719,234938,19360216,    0,    0
 24719,234938,19360217,    0,    0
 24719,234938,19360218,    0,    0
 24719,234938,19360219,   10,    0
 24719,234938,19360220,    9,    0
 24719,234938,19360221,    0,    0
 24719,234938,19360222,  165,    0
 24719,234938,19360223,  140,    0
 24719,234938,19360224,    7,    0
 24719,234938,19360225,   20,    0
 24719,234938,19360226,    0,    0
 24719,234938,19360227,   20,    0
 24719,234938,19360228,   63,    0
 24719,234938,19360229,   19,    0
 24719,234938,19360301,    0,    0
 24719,234938,19360302,    0,    0
 24719,234938,19360303,    0,    0
 24719,234938,19360304,    0,    0
 24719,234938,19360305,    0,    0
 24719,234938,19360306,   20,    0
 24719,234938,19360307,  465,    0
 24719,234938,19360308,   13,    0
 24719,234938,19360309,    0,    0
 24719,234938,19360310,    0,    0
 24719,234938,19360311,    0,    0
 24719,234938,19360312,   20,    0
 24719,234938,19360313,    0,    0
 24719,234938,19360314,    0,    0
 24719,234938,19360315,    0,    0
 24719,234938,19360316,    0,    0
 24719,234938,19360317,    0,    0
 24719,234938,19360318,    0,    0
 24719,234938,19360319,    0,    0
 24719,234938,19360320,    0,    0
 24719,234938,19360321,    0,    0
 24719,234938,19360322,    0,    0
 24719,234938,19360323,    0,    0
 24719,234938,19360324,    0,    0
 24719,234938,19360325,    0,    0
 24719,234938,19360326,    0,    0
 24719,234938,19360327,    0,    0
 24719,234938,19360328,    0,    0
