EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-05-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the non-blended series (SOUID: 235003) of station POYSDORF-OST, AUSTRIA (STAID:  24724)

 STAID,    SOUID,    DATE,   RR, Q_RR
 24724,235003,19651101,    5,    0
 24724,235003,19651102,    0,    0
 24724,235003,19651103,    0,    0
 24724,235003,19651104,    0,    0
 24724,235003,19651105,    0,    0
 24724,235003,19651106,    0,    0
 24724,235003,19651107,    0,    0
 24724,235003,19651108,    0,    0
 24724,235003,19651109,    5,    0
 24724,235003,19651110,   76,    0
 24724,235003,19651111,   72,    0
 24724,235003,19651112,    0,    0
 24724,235003,19651113,    0,    0
 24724,235003,19651114,    0,    0
 24724,235003,19651115,    0,    0
 24724,235003,19651116,    0,    0
 24724,235003,19651117,    0,    0
 24724,235003,19651118,   10,    0
 24724,235003,19651119,    0,    0
 24724,235003,19651120,   73,    0
 24724,235003,19651121,   26,    0
 24724,235003,19651122,    5,    0
 24724,235003,19651123,    0,    0
 24724,235003,19651124,    0,    0
 24724,235003,19651125,    0,    0
 24724,235003,19651126,    0,    0
 24724,235003,19651127,    0,    0
 24724,235003,19651128,    0,    0
 24724,235003,19651129,    0,    0
 24724,235003,19651130,   16,    0
 24724,235003,19651201,    0,    0
 24724,235003,19651202,    0,    0
 24724,235003,19651203,    0,    0
 24724,235003,19651204,    0,    0
 24724,235003,19651205,   43,    0
 24724,235003,19651206,    0,    0
 24724,235003,19651207,    5,    0
 24724,235003,19651208,    0,    0
 24724,235003,19651209,    0,    0
 24724,235003,19651210,    0,    0
 24724,235003,19651211,    0,    0
 24724,235003,19651212,    0,    0
 24724,235003,19651213,   70,    0
 24724,235003,19651214,    0,    0
 24724,235003,19651215,    0,    0
 24724,235003,19651216,    0,    0
 24724,235003,19651217,   55,    0
 24724,235003,19651218,  110,    0
 24724,235003,19651219,    0,    0
 24724,235003,19651220,    0,    0
 24724,235003,19651221,    4,    0
 24724,235003,19651222,    0,    0
 24724,235003,19651223,   44,    0
 24724,235003,19651224,   52,    0
 24724,235003,19651225,   10,    0
 24724,235003,19651226,    0,    0
 24724,235003,19651227,    0,    0
 24724,235003,19651228,    0,    0
 24724,235003,19651229,    0,    0
 24724,235003,19651230,    1,    0
 24724,235003,19651231,    0,    0
 24724,235003,19660101,    0,    0
 24724,235003,19660102,    0,    0
 24724,235003,19660103,    0,    0
 24724,235003,19660104,    0,    0
 24724,235003,19660105,    0,    0
 24724,235003,19660106,    0,    0
 24724,235003,19660107,    0,    0
 24724,235003,19660108,    0,    0
 24724,235003,19660109,   11,    0
 24724,235003,19660110,   16,    0
 24724,235003,19660111,    0,    0
 24724,235003,19660112,   17,    0
 24724,235003,19660113,    0,    0
 24724,235003,19660114,    5,    0
 24724,235003,19660115,    0,    0
 24724,235003,19660116,    0,    0
 24724,235003,19660117,    0,    0
 24724,235003,19660118,   14,    0
 24724,235003,19660119,   42,    0
 24724,235003,19660120,    0,    0
 24724,235003,19660121,    0,    0
 24724,235003,19660122,    0,    0
 24724,235003,19660123,    0,    0
 24724,235003,19660124,    6,    0
 24724,235003,19660125,    0,    0
 24724,235003,19660126,    0,    0
 24724,235003,19660127,   24,    0
 24724,235003,19660128,   32,    0
 24724,235003,19660129,    0,    0
 24724,235003,19660130,    0,    0
 24724,235003,19660131,   24,    0
 24724,235003,19660201,    2,    0
 24724,235003,19660202,    2,    0
 24724,235003,19660203,   10,    0
 24724,235003,19660204,    0,    0
 24724,235003,19660205,   19,    0
 24724,235003,19660206,    0,    0
 24724,235003,19660207,    3,    0
 24724,235003,19660208,   44,    0
 24724,235003,19660209,    0,    0
 24724,235003,19660210,    0,    0
 24724,235003,19660211,    0,    0
 24724,235003,19660212,   66,    0
 24724,235003,19660213,    0,    0
 24724,235003,19660214,   20,    0
 24724,235003,19660215,    0,    0
 24724,235003,19660216,    0,    0
 24724,235003,19660217,    0,    0
 24724,235003,19660218,    0,    0
 24724,235003,19660219,    0,    0
 24724,235003,19660220,    0,    0
 24724,235003,19660221,    0,    0
 24724,235003,19660222,    0,    0
 24724,235003,19660223,   70,    0
 24724,235003,19660224,    0,    0
 24724,235003,19660225,    0,    0
 24724,235003,19660226,   10,    0
 24724,235003,19660227,    0,    0
 24724,235003,19660228,  150,    0
 24724,235003,19660301,   19,    0
 24724,235003,19660302,    0,    0
 24724,235003,19660303,    0,    0
 24724,235003,19660304,    0,    0
 24724,235003,19660305,    0,    0
 24724,235003,19660306,    0,    0
 24724,235003,19660307,    0,    0
 24724,235003,19660308,    0,    0
