EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-05-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the non-blended series (SOUID: 236251) of station GUESSING, AUSTRIA (STAID:  24820)

 STAID,    SOUID,    DATE,   RR, Q_RR
 24820,236251,19480101,    0,    0
 24820,236251,19480102,    0,    0
 24820,236251,19480103,    0,    0
 24820,236251,19480104,    0,    0
 24820,236251,19480105,    0,    0
 24820,236251,19480106,    0,    0
 24820,236251,19480107,    0,    0
 24820,236251,19480108,  132,    0
 24820,236251,19480109,    0,    0
 24820,236251,19480110,    0,    0
 24820,236251,19480111,    0,    0
 24820,236251,19480112,    0,    0
 24820,236251,19480113,    0,    0
 24820,236251,19480114,    0,    0
 24820,236251,19480115,  100,    0
 24820,236251,19480116,    0,    0
 24820,236251,19480117,    0,    0
 24820,236251,19480118,    0,    0
 24820,236251,19480119,  136,    0
 24820,236251,19480120,   90,    0
 24820,236251,19480121,    0,    0
 24820,236251,19480122,    0,    0
 24820,236251,19480123,    0,    0
 24820,236251,19480124,    0,    0
 24820,236251,19480125,    0,    0
 24820,236251,19480126,    0,    0
 24820,236251,19480127,    0,    0
 24820,236251,19480128,  120,    0
 24820,236251,19480129,   21,    0
 24820,236251,19480130,   20,    0
 24820,236251,19480131,    0,    0
 24820,236251,19480201,   45,    0
 24820,236251,19480202,    0,    0
 24820,236251,19480203,    0,    0
 24820,236251,19480204,    0,    0
 24820,236251,19480205,    0,    0
 24820,236251,19480206,    0,    0
 24820,236251,19480207,    0,    0
 24820,236251,19480208,    0,    0
 24820,236251,19480209,    0,    0
 24820,236251,19480210,    0,    0
 24820,236251,19480211,   15,    0
 24820,236251,19480212,    0,    0
 24820,236251,19480213,    0,    0
 24820,236251,19480214,    0,    0
 24820,236251,19480215,    0,    0
 24820,236251,19480216,   46,    0
 24820,236251,19480217,    7,    0
 24820,236251,19480218,    0,    0
 24820,236251,19480219,    0,    0
 24820,236251,19480220,    6,    0
 24820,236251,19480221,  230,    0
 24820,236251,19480222,   40,    0
 24820,236251,19480223,    0,    0
 24820,236251,19480224,    0,    0
 24820,236251,19480225,    0,    0
 24820,236251,19480226,    0,    0
 24820,236251,19480227,    0,    0
 24820,236251,19480228,    0,    0
 24820,236251,19480229,    0,    0
 24820,236251,19480301,    0,    0
 24820,236251,19480302,    0,    0
 24820,236251,19480303,    0,    0
 24820,236251,19480304,    0,    0
 24820,236251,19480305,    0,    0
 24820,236251,19480306,    0,    0
 24820,236251,19480307,    0,    0
 24820,236251,19480308,    0,    0
 24820,236251,19480309,    0,    0
 24820,236251,19480310,    0,    0
 24820,236251,19480311,    0,    0
 24820,236251,19480312,    0,    0
 24820,236251,19480313,    0,    0
 24820,236251,19480314,    0,    0
 24820,236251,19480315,    0,    0
 24820,236251,19480316,    0,    0
 24820,236251,19480317,   94,    0
 24820,236251,19480318,    0,    0
 24820,236251,19480319,    0,    0
 24820,236251,19480320,    0,    0
 24820,236251,19480321,    0,    0
 24820,236251,19480322,    0,    0
 24820,236251,19480323,    0,    0
 24820,236251,19480324,    0,    0
 24820,236251,19480325,    0,    0
 24820,236251,19480326,    0,    0
 24820,236251,19480327,    0,    0
 24820,236251,19480328,    0,    0
 24820,236251,19480329,    0,    0
 24820,236251,19480330,    0,    0
 24820,236251,19480331,    0,    0
 24820,236251,19480401,    8,    0
 24820,236251,19480402,  110,    0
 24820,236251,19480403,   36,    0
 24820,236251,19480404,    0,    0
 24820,236251,19480405,    0,    0
 24820,236251,19480406,  178,    0
 24820,236251,19480407,    0,    0
 24820,236251,19480408,    0,    0
 24820,236251,19480409,    0,    0
 24820,236251,19480410,    0,    0
 24820,236251,19480411,    0,    0
 24820,236251,19480412,    0,    0
 24820,236251,19480413,    0,    0
 24820,236251,19480414,    0,    0
 24820,236251,19480415,   13,    0
 24820,236251,19480416,    0,    0
 24820,236251,19480417,    0,    0
 24820,236251,19480418,    0,    0
 24820,236251,19480419,    0,    0
 24820,236251,19480420,    0,    0
 24820,236251,19480421,   22,    0
 24820,236251,19480422,    0,    0
 24820,236251,19480423,    0,    0
 24820,236251,19480424,   40,    0
 24820,236251,19480425,    0,    0
 24820,236251,19480426,    0,    0
 24820,236251,19480427,    0,    0
 24820,236251,19480428,    0,    0
 24820,236251,19480429,    0,    0
 24820,236251,19480430,   72,    0
 24820,236251,19480501,    0,    0
 24820,236251,19480502,    0,    0
 24820,236251,19480503,    0,    0
 24820,236251,19480504,    0,    0
 24820,236251,19480505,   23,    0
 24820,236251,19480506,    0,    0
 24820,236251,19480507,    0,    0
 24820,236251,19480508,    0,    0
 24820,236251,19480509,    0,    0
 24820,236251,19480510,    0,    0
 24820,236251,19480511,    0,    0
 24820,236251,19480512,    0,    0
 24820,236251,19480513,    0,    0
 24820,236251,19480514,    0,    0
 24820,236251,19480515,    0,    0
 24820,236251,19480516,    0,    0
 24820,236251,19480517,    0,    0
 24820,236251,19480518,    0,    0
 24820,236251,19480519,    0,    0
 24820,236251,19480520,    0,    0
 24820,236251,19480521,    0,    0
 24820,236251,19480522,    0,    0
 24820,236251,19480523,    0,    0
 24820,236251,19480524,    0,    0
 24820,236251,19480525,    0,    0
 24820,236251,19480526,    0,    0
 24820,236251,19480527,    0,    0
 24820,236251,19480528,    0,    0
 24820,236251,19480529,   36,    0
 24820,236251,19480530,   76,    0
 24820,236251,19480531,    0,    0
 24820,236251,19480601,    0,    0
 24820,236251,19480602,    0,    0
 24820,236251,19480603,  100,    0
 24820,236251,19480604,  112,    0
 24820,236251,19480605,    0,    0
 24820,236251,19480606,    0,    0
 24820,236251,19480607,    0,    0
 24820,236251,19480608,   10,    0
 24820,236251,19480609,    0,    0
 24820,236251,19480610,   28,    0
 24820,236251,19480611,    0,    0
 24820,236251,19480612,    0,    0
 24820,236251,19480613,    0,    0
 24820,236251,19480614,    0,    0
 24820,236251,19480615,    0,    0
 24820,236251,19480616,    0,    0
 24820,236251,19480617,    0,    0
 24820,236251,19480618,  115,    0
 24820,236251,19480619,   67,    0
 24820,236251,19480620,  152,    0
 24820,236251,19480621,    0,    0
 24820,236251,19480622,   82,    0
 24820,236251,19480623,   68,    0
 24820,236251,19480624,    0,    0
 24820,236251,19480625,    0,    0
 24820,236251,19480626,    0,    0
 24820,236251,19480627,    0,    0
 24820,236251,19480628,  232,    0
 24820,236251,19480629,    0,    0
 24820,236251,19480630,   60,    0
 24820,236251,19480701,   30,    0
 24820,236251,19480702,   48,    0
 24820,236251,19480703,    0,    0
 24820,236251,19480704,   35,    0
 24820,236251,19480705,    0,    0
 24820,236251,19480706,  415,    0
 24820,236251,19480707,  195,    0
 24820,236251,19480708,    0,    0
 24820,236251,19480709,  270,    0
 24820,236251,19480710,    0,    0
 24820,236251,19480711,  140,    0
 24820,236251,19480712,    0,    0
 24820,236251,19480713,    0,    0
 24820,236251,19480714,    0,    0
 24820,236251,19480715,    0,    0
 24820,236251,19480716,  165,    0
 24820,236251,19480717,    0,    0
 24820,236251,19480718,    0,    0
 24820,236251,19480719,   35,    0
 24820,236251,19480720,    0,    0
 24820,236251,19480721,    0,    0
 24820,236251,19480722,    0,    0
 24820,236251,19480723,   45,    0
 24820,236251,19480724,    0,    0
 24820,236251,19480725,    0,    0
 24820,236251,19480726,  210,    0
 24820,236251,19480727,    0,    0
 24820,236251,19480728,    0,    0
 24820,236251,19480729,    0,    0
 24820,236251,19480730,    0,    0
 24820,236251,19480731,    0,    0
 24820,236251,19480801,    0,    0
 24820,236251,19480802,    0,    0
 24820,236251,19480803,   60,    0
 24820,236251,19480804,   40,    0
 24820,236251,19480805,   43,    0
 24820,236251,19480806,   23,    0
 24820,236251,19480807,    0,    0
 24820,236251,19480808,    0,    0
 24820,236251,19480809,    0,    0
 24820,236251,19480810,    0,    0
 24820,236251,19480811,    0,    0
