Wien Hohe Warte;209m;25.7°;32 %;West, 23 km/h;44 km/h;0.0 mm;95 %;1016.0 hPa;2022-05-21 16:50:02
Wien Innere Stadt;177m;26.1°;31 %;West, 28 km/h;52 km/h;0.0 mm;100 %;1016.2 hPa;2022-05-21 16:50:02
Wien Stammersdorf;188m;25.3°;33 %;Nordwest, 13 km/h;34 km/h;0.0 mm;100 %;1016.3 hPa;2022-05-21 16:50:02
Wien Donaufeld;162m;26.4°;31 %;Nordwest, 13 km/h;39 km/h;0.0 mm;100 %;1016.0 hPa;2022-05-21 16:50:02
Wien Unterlaa;200m;25.6°;32 %;Nordwest, 28 km/h;59 km/h;0.0 mm;100 %;1016.2 hPa;2022-05-21 16:50:02
Wien Mariabrunn;227m;25.2°;35 %;West, 13 km/h;41 km/h;0.0 mm;100 %;1016.3 hPa;2022-05-21 16:50:02
Wien Jubiläumswarte;451m;22.8°;41 %;West, 36 km/h;62 km/h;0.0 mm;100 %;1016.2 hPa;2022-05-21 16:50:02
Groß-Enzersdorf;153m;25.9°;30 %;Nordwest, 25 km/h;47 km/h;0.0 mm;99 %;1016.2 hPa;2022-05-21 16:50:02
Schwechat Flughafen;183m;26.2°;31 %;Nordwest, 30 km/h;57 km/h;0.0 mm;100 %;1016.1 hPa;2022-05-21 16:50:02
Brunn am Gebirge;290m;24.4°;40 %;West, 18 km/h;48 km/h;n.v.;100 %;1016.4 hPa;2022-05-21 16:50:02
Wien Hohe Warte;209m;25.9°;34 %;West, 13 km/h;52 km/h;0.0 mm;99 %;1015.6 hPa;2022-05-21 17:50:03
Wien Innere Stadt;177m;25.8°;33 %;West, 27 km/h;59 km/h;0.0 mm;100 %;1015.8 hPa;2022-05-21 17:50:03
Wien Stammersdorf;188m;25.3°;33 %;West, 13 km/h;34 km/h;0.0 mm;99 %;1015.9 hPa;2022-05-21 17:50:03
Wien Donaufeld;162m;26.1°;30 %;Nordwest, 13 km/h;37 km/h;0.0 mm;97 %;1015.5 hPa;2022-05-21 17:50:03
Wien Unterlaa;200m;25.2°;35 %;West, 22 km/h;57 km/h;0.0 mm;100 %;1015.6 hPa;2022-05-21 17:50:03
Wien Mariabrunn;227m;24.5°;38 %;West, 16 km/h;39 km/h;0.0 mm;100 %;1016.0 hPa;2022-05-21 17:50:03
Wien Jubiläumswarte;451m;22.3°;46 %;West, 31 km/h;63 km/h;0.0 mm;100 %;1015.7 hPa;2022-05-21 17:50:03
Groß-Enzersdorf;153m;25.8°;31 %;West, 17 km/h;41 km/h;0.0 mm;100 %;1015.7 hPa;2022-05-21 17:50:03
